"cell_id","surface","known_v_type","parameter","n_replicate","n_interval","n_covered","coverage","coverage_mcse","mean_interval_width","interval_width_mcse","n_study","sigma","sampling_sd","measure"
"meta_v_009","meta_v","vector","sigma",400,400,376,0.94,0.0118743420870379,0.157541603369935,0.000610067525862824,80,0.5,0.08,"lnRR"
"meta_v_013","meta_v","vector","mu:(Intercept)",400,400,373,0.9325,0.0125442965127583,0.25882535930216,0.00217691248516483,20,0.25,0.18,"lnRR"
"meta_v_013","meta_v","vector","mu:x",400,400,375,0.9375,0.0121030729568982,0.270865794202981,0.00308944104855816,20,0.25,0.18,"lnRR"
"meta_v_013","meta_v","vector","sigma",400,400,361,0.9025,0.0148318702461962,0.238295409009086,0.00181863108412018,20,0.25,0.18,"lnRR"
"meta_v_014","meta_v","vector","mu:(Intercept)",400,400,375,0.9375,0.0121030729568982,0.186513294999003,0.00112306748902905,40,0.25,0.18,"lnRR"
"meta_v_014","meta_v","vector","mu:x",400,400,369,0.9225,0.0133691576024819,0.190416729868201,0.00150919269839984,40,0.25,0.18,"lnRR"
"meta_v_014","meta_v","vector","sigma",400,400,366,0.915,0.0139440847673843,0.165432762417941,0.00047283417811197,40,0.25,0.18,"lnRR"
"meta_v_015","meta_v","vector","mu:(Intercept)",400,400,387,0.9675,0.00886619281315266,0.134307394116045,0.000545898460691469,80,0.25,0.18,"lnRR"
"meta_v_015","meta_v","vector","mu:x",400,400,377,0.9425,0.0116397755562554,0.135217260681369,0.000764974983720265,80,0.25,0.18,"lnRR"
"meta_v_015","meta_v","vector","sigma",400,400,367,0.9175,0.0137562485801908,0.117385560828639,0.00023255477210898,80,0.25,0.18,"lnRR"
"meta_v_016","meta_v","vector","mu:(Intercept)",400,400,366,0.915,0.0139440847673843,0.4500541340273,0.00399517741156142,20,0.5,0.18,"lnRR"
"meta_v_016","meta_v","vector","mu:x",400,400,369,0.9225,0.0133691576024819,0.467447485478517,0.00582696985913401,20,0.5,0.18,"lnRR"
"meta_v_016","meta_v","vector","sigma",400,400,343,0.8575,0.0174781113110084,0.332893722886803,0.00235106665488495,20,0.5,0.18,"lnRR"
"meta_v_017","meta_v","vector","mu:(Intercept)",400,400,374,0.935,0.012326293035621,0.32528492633552,0.00195063045242099,40,0.5,0.18,"lnRR"
"meta_v_017","meta_v","vector","mu:x",400,400,381,0.9525,0.0106352891357029,0.332618784160195,0.00276822106613232,40,0.5,0.18,"lnRR"
"meta_v_017","meta_v","vector","sigma",400,400,363,0.9075,0.0144865239101725,0.242784153863831,0.00124057918219595,40,0.5,0.18,"lnRR"
"meta_v_018","meta_v","vector","mu:(Intercept)",400,400,378,0.945,0.011399013115178,0.231177780799112,0.000924015619279837,80,0.5,0.18,"lnRR"
"meta_v_018","meta_v","vector","mu:x",400,400,376,0.94,0.0118743420870379,0.233968382377292,0.00132035367183644,80,0.5,0.18,"lnRR"
"meta_v_018","meta_v","vector","sigma",400,400,377,0.9425,0.0116397755562554,0.173245176584825,0.000599460956556403,80,0.5,0.18,"lnRR"
"meta_v_004","meta_v","vector","mu:(Intercept)",400,400,366,0.915,0.0139440847673843,0.271727322714981,0.00228760227250175,20,0.25,0.2,"logOR"
"meta_v_004","meta_v","vector","mu:x",400,400,365,0.9125,0.0141283181943216,0.28202527351382,0.00335082517448061,20,0.25,0.2,"logOR"
"meta_v_004","meta_v","vector","sigma",400,400,386,0.965,0.00918898797474456,0.267706258094053,0.00369374314553902,20,0.25,0.2,"logOR"
"meta_v_005","meta_v","vector","mu:(Intercept)",400,400,373,0.9325,0.0125442965127583,0.195777066579512,0.00115362152859311,40,0.25,0.2,"logOR"
"meta_v_005","meta_v","vector","mu:x",400,400,366,0.915,0.0139440847673843,0.198447929683157,0.00165167117357777,40,0.25,0.2,"logOR"
"meta_v_005","meta_v","vector","sigma",400,400,371,0.9275,0.0129656999425407,0.190399879299681,0.00981529043688358,40,0.25,0.2,"logOR"
"meta_v_006","meta_v","vector","mu:(Intercept)",400,400,375,0.9375,0.0121030729568982,0.138983632959243,0.000565696326162818,80,0.25,0.2,"logOR"
"meta_v_006","meta_v","vector","mu:x",400,400,377,0.9425,0.0116397755562554,0.140902541124287,0.000832724927242391,80,0.25,0.2,"logOR"
"meta_v_006","meta_v","vector","sigma",400,400,370,0.925,0.0131695671910659,0.126837842128132,0.000211515163119011,80,0.25,0.2,"logOR"
"meta_v_007","meta_v","vector","mu:(Intercept)",400,400,366,0.915,0.0139440847673843,0.460902103962249,0.00400565700128287,20,0.5,0.2,"logOR"
"meta_v_007","meta_v","vector","mu:x",400,400,363,0.9075,0.0144865239101725,0.47811120905435,0.00639370432846524,20,0.5,0.2,"logOR"
"meta_v_007","meta_v","vector","sigma",400,400,357,0.8925,0.0154873940674343,0.346484106614861,0.00226118524230254,20,0.5,0.2,"logOR"
"meta_v_008","meta_v","vector","mu:(Intercept)",400,400,375,0.9375,0.0121030729568982,0.327961720162029,0.00191506497595375,40,0.5,0.2,"logOR"
"meta_v_008","meta_v","vector","mu:x",400,400,381,0.9525,0.0106352891357029,0.336025856835504,0.00296647779642497,40,0.5,0.2,"logOR"
"meta_v_008","meta_v","vector","sigma",400,400,364,0.91,0.0143090880212542,0.248590987780363,0.00116335345190079,40,0.5,0.2,"logOR"
"meta_v_009","meta_v","vector","mu:(Intercept)",400,400,372,0.93,0.0127573508221731,0.236183029712521,0.000930439750151236,80,0.5,0.2,"logOR"
"meta_v_009","meta_v","vector","mu:x",400,400,381,0.9525,0.0106352891357029,0.237567165351341,0.00134432051485169,80,0.5,0.2,"logOR"
"meta_v_009","meta_v","vector","sigma",400,400,379,0.9475,0.0111516534648455,0.179273062558646,0.000592181228360975,80,0.5,0.2,"logOR"
"meta_v_013","meta_v","vector","mu:(Intercept)",400,400,373,0.9325,0.0125442965127583,0.403899507522196,0.00278540956412222,20,0.25,0.4,"logOR"
"meta_v_013","meta_v","vector","mu:x",400,400,377,0.9425,0.0116397755562554,0.423891847557514,0.00447168507603083,20,0.25,0.4,"logOR"
"meta_v_013","meta_v","vector","sigma",400,400,357,0.8925,0.0154873940674343,0.815180785400033,0.0977897777516551,20,0.25,0.4,"logOR"
"meta_v_014","meta_v","vector","mu:(Intercept)",400,400,378,0.945,0.011399013115178,0.285460316788243,0.00155521956031803,40,0.25,0.4,"logOR"
"meta_v_014","meta_v","vector","mu:x",400,400,374,0.935,0.012326293035621,0.29146706306153,0.00222503944933976,40,0.25,0.4,"logOR"
"meta_v_014","meta_v","vector","sigma",400,400,379,0.9475,0.0111516534648455,0.576213369099158,0.0721278543066647,40,0.25,0.4,"logOR"
"meta_v_015","meta_v","vector","mu:(Intercept)",400,400,382,0.955,0.0103652062208139,0.203801484577294,0.000802737607721662,80,0.25,0.4,"logOR"
