"n_tip","n_each","seed","param","truth","est","pd","conv"
300,1,5,"cor_mu",0.4,0.223826454069805,FALSE,1
300,1,5,"cor_s",0.3,0.999990282325292,FALSE,1
300,1,6,"sd_mu1",0.6,0.498938785980633,TRUE,0
300,1,6,"sd_mu2",0.5,0.336077085573373,TRUE,0
300,1,6,"sd_s1",0.4,0.579408407982045,TRUE,0
300,1,6,"sd_s2",0.3,0.326562396351964,TRUE,0
300,1,6,"cor_mu",0.4,0.691839787371663,TRUE,0
300,1,6,"cor_s",0.3,0.558738466286196,TRUE,0
300,3,1,"sd_mu1",0.6,0.111015063533638,FALSE,1
300,3,1,"sd_mu2",0.5,0.591071717737132,FALSE,1
300,3,1,"sd_s1",0.4,0.18897513561259,FALSE,1
300,3,1,"sd_s2",0.3,0.293919785007507,FALSE,1
300,3,1,"cor_mu",0.4,0.999955736619189,FALSE,1
300,3,1,"cor_s",0.3,0.999998723080402,FALSE,1
300,3,2,"sd_mu1",0.6,0.59859218028551,TRUE,0
300,3,2,"sd_mu2",0.5,0.601048398885014,TRUE,0
300,3,2,"sd_s1",0.4,0.400361516342054,TRUE,0
300,3,2,"sd_s2",0.3,0.361020954919679,TRUE,0
300,3,2,"cor_mu",0.4,0.595908595126557,TRUE,0
300,3,2,"cor_s",0.3,0.372711730632078,TRUE,0
300,3,3,"sd_mu1",0.6,0.587427193157218,TRUE,0
300,3,3,"sd_mu2",0.5,0.551981491539037,TRUE,0
300,3,3,"sd_s1",0.4,0.438972298136314,TRUE,0
300,3,3,"sd_s2",0.3,0.368773297000493,TRUE,0
300,3,3,"cor_mu",0.4,0.516144751441783,TRUE,0
300,3,3,"cor_s",0.3,0.0851721751430001,TRUE,0
300,3,4,"sd_mu1",0.6,0.581405080537537,TRUE,0
300,3,4,"sd_mu2",0.5,0.379378543806716,TRUE,0
300,3,4,"sd_s1",0.4,0.571832397136581,TRUE,0
300,3,4,"sd_s2",0.3,0.27763889774879,TRUE,0
300,3,4,"cor_mu",0.4,0.391753807719948,TRUE,0
300,3,4,"cor_s",0.3,-0.283603872720765,TRUE,0
300,3,5,"sd_mu1",0.6,0.545267705499459,TRUE,0
300,3,5,"sd_mu2",0.5,0.563874458394321,TRUE,0
300,3,5,"sd_s1",0.4,0.397511537075901,TRUE,0
300,3,5,"sd_s2",0.3,0.189605791935808,TRUE,0
300,3,5,"cor_mu",0.4,0.652782207697573,TRUE,0
300,3,5,"cor_s",0.3,-0.034279874314433,TRUE,0
300,3,6,"sd_mu1",0.6,0.538817674616633,TRUE,0
300,3,6,"sd_mu2",0.5,0.480410980304587,TRUE,0
300,3,6,"sd_s1",0.4,0.483218036375373,TRUE,0
300,3,6,"sd_s2",0.3,0.17278817539084,TRUE,0
300,3,6,"cor_mu",0.4,0.160587191480857,TRUE,0
300,3,6,"cor_s",0.3,0.278736324773082,TRUE,0
300,5,1,"sd_mu1",0.6,0.571218734962032,TRUE,0
300,5,1,"sd_mu2",0.5,0.391687138949312,TRUE,0
300,5,1,"sd_s1",0.4,0.405065734933509,TRUE,0
300,5,1,"sd_s2",0.3,0.367736512758148,TRUE,0
300,5,1,"cor_mu",0.4,0.339089995415465,TRUE,0
300,5,1,"cor_s",0.3,0.0132285096182121,TRUE,0
300,5,2,"sd_mu1",0.6,0.518158904512572,TRUE,0
300,5,2,"sd_mu2",0.5,0.534126103938627,TRUE,0
300,5,2,"sd_s1",0.4,0.33498281329698,TRUE,0
300,5,2,"sd_s2",0.3,0.286477754541373,TRUE,0
300,5,2,"cor_mu",0.4,0.581137570492415,TRUE,0
300,5,2,"cor_s",0.3,0.592458310227137,TRUE,0
300,5,3,"sd_mu1",0.6,0.53796483283481,TRUE,0
300,5,3,"sd_mu2",0.5,0.428008884028078,TRUE,0
300,5,3,"sd_s1",0.4,0.111253045541993,TRUE,0
300,5,3,"sd_s2",0.3,0.212852443700227,TRUE,0
300,5,3,"cor_mu",0.4,0.449480796373437,TRUE,0
300,5,3,"cor_s",0.3,-0.406563520368656,TRUE,0
300,5,4,"sd_mu1",0.6,0.434717980642499,TRUE,0
300,5,4,"sd_mu2",0.5,0.468008085988473,TRUE,0
300,5,4,"sd_s1",0.4,0.414372080077734,TRUE,0
300,5,4,"sd_s2",0.3,0.411971310867456,TRUE,0
300,5,4,"cor_mu",0.4,0.346031880623757,TRUE,0
300,5,4,"cor_s",0.3,0.54411045835089,TRUE,0
