"record_type"	"stage"	"fixture"	"engine"	"check"	"coefficient"	"expected"	"observed"	"status"	"detail"	"solver_status"	"solver_objective"	"max_residual"	"ray"	"t"	"direct_objective"	"compiled_objective"	"direct_delta"	"compiled_delta"	"retained_rows"	"design_columns"	"trials_sum"	"active_weight_sum"	"detector_outcome"	"detector_class"	"warnings"	"error"	"record_id"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_positive"	"1"	" 4.639341111192782"	" 4.639341111192782"	"0.48045802783311053"	"0.48045802783311053"									"s0a2-0032"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.0000000000000017763568394002505"	"PASS"					"slope_positive"	"2"	"5.8940064052917798"	"5.8940064052917815"	"1.7351233219321083"	"1.7351233219321101"									"s0a2-0033"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.0000000000000017763568394002505"	"PASS"					"slope_positive"	"4"	"9.4588940727911304"	"9.4588940727911286"	"5.3000109894314589"	"5.3000109894314571"									"s0a2-0034"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000000031263880373444408"	"PASS"					"slope_positive"	"8"	"17.387635986611787"	"17.387635986611475"	"13.228752903252115"	"13.228752903251802"									"s0a2-0035"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000020243362541805254"	"PASS"					"slope_positive"	"16"	"33.386294811058129"	"33.386294811260562"	"29.227411727698456"	" 29.22741172790089"									"s0a2-0036"
"gate"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"ray_verdict"		"interior_minimum"	"compiled_delta_t1=0.48045802783311053; direct_delta_t1=0.48045802783311053"	"PASS"					"slope_positive"														"s0a2-0037"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_negative"	"0"	"4.1588830833596715"	"4.1588830833596715"	"0"	"0"									"s0a2-0038"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_negative"	"0.5"	"4.2826022978403175"	"4.2826022978403175"	"0.12371921448064604"	"0.12371921448064604"									"s0a2-0039"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_negative"	"1"	" 4.639341111192782"	" 4.639341111192782"	"0.48045802783311053"	"0.48045802783311053"									"s0a2-0040"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.0000000000000017763568394002505"	"PASS"					"slope_negative"	"2"	"5.8940064052917798"	"5.8940064052917815"	"1.7351233219321083"	"1.7351233219321101"									"s0a2-0041"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_negative"	"4"	"9.4588940727911286"	"9.4588940727911286"	"5.3000109894314571"	"5.3000109894314571"									"s0a2-0042"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000000031619151741324458"	"PASS"					"slope_negative"	"8"	"17.387635986611791"	"17.387635986611475"	"13.228752903252119"	"13.228752903251802"									"s0a2-0043"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000020243362541805254"	"PASS"					"slope_negative"	"16"	"33.386294811058129"	"33.386294811260562"	"29.227411727698456"	" 29.22741172790089"									"s0a2-0044"
"gate"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"ray_verdict"		"interior_minimum"	"compiled_delta_t1=0.48045802783311053; direct_delta_t1=0.48045802783311053"	"PASS"					"slope_negative"														"s0a2-0045"
"gate"	"binomial-core"	"mu_complete_shifted_forced"	"base_qr"	"design_rank"		"full_rank"	"full_rank"	"PASS"	"rank=2; p=2"										"4"	"2"	"4"	"4"					"s0a2-0046"
"fit"	"binomial-core"	"mu_complete_shifted_forced"	"drmTMB_ML"	"coefficient"	"(Intercept)"		" -70.9046887032179"	"RECORDED"	"convergence=0; message=both X-convergence and relative convergence (5); objective=0.00000000010877397024622166; max_gradient=0.000000000054386984966280128; pdHess=TRUE"										"4"	"2"	"4"	"4"					"s0a2-0047"
"fit"	"binomial-core"	"mu_complete_shifted_forced"	"drmTMB_ML"	"coefficient"	"x"		"47.269792469446692"	"RECORDED"	"convergence=0; message=both X-convergence and relative convergence (5); objective=0.00000000010877397024622166; max_gradient=0.000000000054386984966280128; pdHess=TRUE"										"4"	"2"	"4"	"4"					"s0a2-0048"
"fit"	"binomial-core"	"mu_complete_shifted_forced"	"glm"	"coefficient"	"(Intercept)"		" -70.9046887032179"	"RECORDED"	"converged=TRUE; deviance=0.00000000021754864575859341"										"4"	"2"	"4"	"4"			"glm.fit: fitted probabilities numerically 0 or 1 occurred"		"s0a2-0049"
"fit"	"binomial-core"	"mu_complete_shifted_forced"	"glm"	"coefficient"	"x"		"47.269792469392307"	"RECORDED"	"converged=TRUE; deviance=0.00000000021754864575859341"										"4"	"2"	"4"	"4"			"glm.fit: fitted probabilities numerically 0 or 1 occurred"		"s0a2-0050"
"fit"	"binomial-core"	"mu_complete_shifted_forced"	"brglm2_mean_bias_reduction"	"fit"		"object"	"error"	"RETAINED_FAILURE"																		"unused argument (type = \"AS_mean\")"	"s0a2-0051"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"improving_cone"		"feasible"	"feasible"	"PASS"	"solution=(Intercept)=-0.24999999999999997;x=              0.25; B_source=1,2,3,4; E_source=; message=1 | list(c(-0.25, 0.25)) | list(c(1, 0, 0, 0, 0, 0, 0, 0)) | list(objfrom = c(0, 0), objtill = c(1e+30, 1e+30)) | list(duals = c(0, 0, 0, 0, 0, 0, 0), dualsfrom = c(-1e+30, -0.25, -1e+30, -1e+30, 2.22044604925031e-16, -1e+30, -1e+30), dualstill = c(1e+30, 0.250000000000253, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30)) | 2 | 0"	"0"	"0"	"0.000000000000000027755575615628914"							"4"	"2"							"s0a2-0052"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_strict_margin"	"separation_class"		"complete"	"complete"	"PASS"	"delta=0.20000000000000007; solution=0,0.40000000000000002,0.60000000000000009,0,0.20000000000000007; message=1 | list(c(0, 0.4, 0.6, 0, 0.2)) | list(c(1, 0, -0.6, -0.4, 0, 0.2, -0.4, 0, 0, -0.4, 0)) | list(objfrom = c(-1e+30, -0.5, -0.333333333333333, -1e+30, 2.22044604925031e-16), objtill = c(0.4, 2, 3, 0.4, 1e+30)) | list(duals = c(0, -0.6, -0.4, 0, 0.2, -0.4, 0, 0, -0.4, 0), dualsfrom = c(-1e+30, -0.5, -0.333333333333333, -1e+30, 4.44089209850063e-16, -1e+30, -1e+30, -1e+30, -2, -1e+30), dualstill = c(1e+30, 0.333333333333333, 0.5, 1e+30, 1e+30, 0.5, 1e+30, 1e+30, 0.5, 1e+30)) | 4 | 0"	"0"	"0.20000000000000007"	"0.00000000000000011102230246251565"															"s0a2-0053"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"sign_negative"	"(Intercept)"	"feasible"	"feasible"	"PASS"	"solution=(Intercept)=-1.0000000000000002;x=0.49999999999974665; message=1 | list(c(-1, 0.499999999999747)) | list(c(1, 0, 0, 0, 0, 0, 0, 0, 0)) | list(objfrom = c(0, 0), objtill = c(1e+30, 1e+30)) | list(duals = c(0, 0, 0, 0, 0, 0, 0, 0), dualsfrom = c(-1e+30, -1e+30, -0.333333333332395, -1e+30, -1e+30, -1e+30, -1e+30, -1e+30), dualstill = c(1e+30, 1e+30, 1.00000000000051, 1e+30, 1e+30, -0.500000000000253, 1e+30, 1e+30)) | 3 | 0"	"0"	"0"	"0.00000000000050692783304384648"															"s0a2-0054"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"sign_zero"	"(Intercept)"	"infeasible"	"infeasible"	"PASS"	"solution=(Intercept)=                NA;x=                NA; message=0 | list(c(NA, NA)) | list(c(NA, NA, NA, NA, NA, NA))"	"1"																	"s0a2-0055"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"sign_positive"	"(Intercept)"	"infeasible"	"infeasible"	"PASS"	"solution=(Intercept)=                NA;x=                NA; message=0 | list(c(NA, NA)) | list(c(NA, NA, NA, NA, NA, NA))"	"1"																	"s0a2-0056"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"coefficient_sign_feasibility"	"(Intercept)"	"negative=TRUE;zero=FALSE;positive=FALSE"	"negative=TRUE;zero=FALSE;positive=FALSE"	"PASS"																			"s0a2-0057"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"sign_negative"	"x"	"infeasible"	"infeasible"	"PASS"	"solution=(Intercept)=                NA;x=                NA; message=0 | list(c(NA, NA)) | list(c(NA, NA, NA, NA, NA, NA))"	"1"																	"s0a2-0058"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"sign_zero"	"x"	"infeasible"	"infeasible"	"PASS"	"solution=(Intercept)=                NA;x=                NA; message=0 | list(c(NA, NA)) | list(c(NA, NA, NA, NA, NA, NA))"	"1"																	"s0a2-0059"
