"record_type"	"stage"	"fixture"	"engine"	"coefficient"	"coefficient_value"	"oracle_direction"	"expected_direction"	"rank_status"	"detector_class"	"expected_class"	"status"	"detail"	"retained_rows"	"design_columns"	"trials_sum"	"positive_weight_sum"	"offset_summary"	"logLik"	"objective"	"convergence"	"optimizer_message"	"max_abs_gradient"	"pdHess"	"warnings"	"error"
"gate"	"binomial_core"	"mu_quasi"	"detectseparation"	"x"	"Inf"	"+Inf"	"+Inf"	"full_rank"	"quasi_complete"	"quasi_complete"	"PASS"		4	2	4	4	"none"							""	
"fit"	"binomial_core"	"mu_quasi"	"glm"	"(Intercept)"	"-0.00000000000000009279072499357600"			"full_rank"		"quasi_complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-1.386294367481901"	"1.386294367481901"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_quasi"	"glm"	"x"	"19.56606851882493"			"full_rank"		"quasi_complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-1.386294367481901"	"1.386294367481901"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_quasi"	"brglm2_mean_bias_reduction"	"(Intercept)"	"0.0000000000000002684765521773561"			"full_rank"		"quasi_complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-1.846256646406713"	"1.846256646406713"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_quasi"	"brglm2_mean_bias_reduction"	"x"	"1.352564555893399"			"full_rank"		"quasi_complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-1.846256646406713"	"1.846256646406713"	"TRUE"	"NA"		"NA"	""	
"fit"	"binomial_core"	"mu_quasi"	"drmTMB_ML"	"(Intercept)"	"-0.00000000000000009279072499357600"			"full_rank"		"quasi_complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-1.386294367481901"	"1.386294367481901"	"0"	"both X-convergence and relative convergence (5)"	"0.000000006362010829236817"	"TRUE"	""	
"fit"	"binomial_core"	"mu_quasi"	"drmTMB_ML"	"x"	"19.56606851882493"			"full_rank"		"quasi_complete"	"RECORDED"	"objective values include their native binomial constants"	4	2	4	4	"none"	"-1.386294367481901"	"1.386294367481901"	"0"	"both X-convergence and relative convergence (5)"	"0.000000006362010829236817"	"TRUE"	""	
"gate"	"binomial_core"	"mu_intercept_all_success"	"detectseparation"	"classification"	"complete"		"complete"	"full_rank"	"complete"	"complete"	"PASS"		4	1	4	4	"none"							""	
"gate"	"binomial_core"	"mu_intercept_all_success"	"detectseparation"	"(Intercept)"	"Inf"	"+Inf"	"+Inf"	"full_rank"	"complete"	"complete"	"PASS"		4	1	4	4	"none"							""	
"fit"	"binomial_core"	"mu_intercept_all_success"	"glm"	"(Intercept)"	"23.56606833710094"			"full_rank"		"complete"	"RECORDED"	"objective values include their native binomial constants"	4	1	4	4	"none"	"-0.0000000002330486914559060"	"0.0000000002330486914559060"	"TRUE"	"NA"		"NA"	""	
